CODIGOS,ABEV3,BTOW3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,GOLL4,NTCO3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,QUAL3,RADL3,SBSP3,SANB11,CSNA3,SMLS3,SULA11,TAEE11,VIVT4,TIMP3,TOTS3,UGPA3,USIM5,VALE3,WEGE3,YDUQ3,IBOV
21/12/2015,15.805339058,13.794313791,9.8994702541,16.967858308,7.0985517608,11.027809019,9.9703079671,4.1444749762,12.464396204,22.634749857,56.423295253,10.674202508,4.5503455026,13.029846644,19.088918637,9.0501534338,21.104215048,11.583879444,6.2514166711,4.5656681014,5.3701022265,8.9819163675,27.761057951,9.6311128417,19.781944851,6.5042950924,6.0965899468,4.4019614499,1.4237838536,2.8,11.892313644,18.102775044,18.9872572,4.109800046,12.224325977,11.741363061,18.5406448,6.9324834356,14.475235243,13.452839614,0.15439687029,6.14,5.8358776647,12.245129392,8.0933270433,6.1658967505,9.7057520002,34.221393302,16.275426347,11.942749427,3.7431059858,26.394979515,15.127176174,10.664182529,27.352448624,6.1697839032,28.2860043,27.763809322,1.4727281804,10.953073144,10.776867409,11.094801028,43199
22/12/2015,15.893884375,13.61090444,9.9352730399,16.850743573,7.0429495277,11.054103271,10.059141947,4.2125567006,12.539634008,23.148619854,57.415566997,10.57452124,4.439361466,12.467934508,18.836271184,8.9687020529,21.277200418,11.444872891,6.1847348933,4.4532558186,5.4578171449,9.0174883135,28.431286432,9.6316604765,20.230845163,6.4465205514,6.2201694727,4.4682275363,1.4706188488,2.49,11.587870415,17.801758923,18.580519461,4.127363294,12.302953878,11.769769584,19.063391493,7.0343484983,14.369754269,13.10291026,0.16632058898,6.2,5.7750872723,12.443848035,8.3173300782,6.3051865868,9.6988242686,33.767938133,16.302552057,12.012499424,3.7524404146,26.084093517,15.017728904,10.802849918,27.775580426,6.2239840546,29.113994442,27.647493008,1.4534768317,11.184789907,10.975519343,10.85534489,43469
23/12/2015,16.115247668,14.093560626,9.8905195577,17.105640348,7.1170858385,11.185574527,10.137524872,4.4423325207,12.414237668,23.613549851,57.503120386,10.798804094,4.57254231,12.427216237,19.324722926,8.8872506719,21.43288725,11.565345237,6.1680644488,4.496491312,5.4188327368,8.937451435,28.246730763,9.7038377824,20.352169572,6.5844339717,6.1789762974,4.5723599577,1.5549218402,2.46,11.820959763,18.002436337,18.672959856,4.0980912139,12.256702171,11.864457996,19.156136874,7.2720336447,14.572602296,13.219553378,0.18038446231,6.35,5.8088597125,12.642949604,8.6484649994,6.4351904339,9.7196074635,34.867808118,17.450873805,12.322499409,4.0418077103,25.333417569,15.127176174,10.974533352,28.259159628,6.3323843574,30.053155553,28.251443098,1.4919795292,11.781906181,11.032277039,10.863326762,44014
24/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28/12/2015,16.062120478,14.412113709,9.7652098077,16.781852553,7.147975968,11.269716132,10.236809909,4.1785158384,12.522914496,23.947973182,57.425295151,10.790497322,4.5873401815,12.402785274,19.268579048,8.9325014391,21.891298478,11.537543927,6.1930701155,4.3494906345,5.4090866347,8.955237408,27.819338689,9.8963105979,20.625149492,6.5599635196,6.1583797098,4.5060938713,1.5549218402,2.39,11.473704204,18.086051926,18.330930393,4.0863823819,12.210450465,11.712956537,19.299470644,7.1305543909,15.416450091,13.196224754,0.24764646521,6.35,5.9709674254,12.48117958,8.3855049149,6.221612685,9.6988242686,35.408095128,17.179616699,12.547249398,3.9577978503,25.833868201,15.009911242,10.961326934,27.768024501,6.2420507717,29.442700831,28.242495689,1.5208565523,11.264999556,11.181265989,11.126728513,43764
29/12/2015,16.115247668,14.692054296,9.7831112005,16.6027359,7.0491275536,11.253939581,10.289065192,4.1955362695,12.372438888,23.564609851,55.79096522,10.707429598,4.57254231,12.29691777,19.145062515,8.9777522063,21.986440432,12.139905658,6.1680644488,4.2111370557,5.5065476552,9.1597760975,28.227303851,9.735916585,20.503825083,6.5166696427,6.323152411,4.3924948662,1.5455548411,2.39,11.135962497,18.194752192,18.164537682,4.0863823819,12.219700806,11.741363061,19.282607848,6.9239946804,16.114247306,13.483944445,0.27439839818,6.23,5.9101770331,12.054977784,8.3465478654,6.212326696,9.7334629267,34.964287941,17.05303005,12.454249403,3.9204601347,25.70496425,14.783199041,10.961326934,27.564014525,6.1336504689,29.442700831,27.759335617,1.4919795292,11.336297021,11.053561174,10.91919986,43653
30/12/2015,15.805339058,14.70170742,9.7473084148,16.761185247,6.8576087506,10.780643057,10.074818532,4.2465975629,12.322280352,22.528713191,53.893975121,10.424999337,4.5355476311,12.386497966,18.858728736,8.6247962224,21.796156525,12.5105898,6.2514166711,4.4013732266,5.6137547777,9.2842779086,29.324924407,9.6557195785,20.31577225,6.4451406287,6.5909080506,4.4019614499,1.5549218402,2.52,11.1740179,18.152944397,17.480478756,4.0278382217,12.178074271,11.694018855,19.771628948,7.023030158,15.741006935,13.297315456,0.26981235253,6.35,5.8628956168,11.821655634,8.3465478654,6.221612685,9.7888847797,34.231041284,17.116323375,12.430999404,3.7337715569,26.38739693,14.548669178,11.060375069,27.012431997,6.1968839789,29.142169275,27.043542918,1.4919795292,11.6125747,10.606594323,11.134710384,43349
31/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01/01/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
